question,document
Can I generate a Kestra workflow from my editor with tools like Claude Code or Codex and then push it directly into Kestra?,bfe5502c30
"How does Kestra keep the Python script separate from the orchestration part, and is that different from how Airflow works?",bfe5502c30
"For a really simple automation, would Zapier or n8n be a better choice than Kestra, or is Kestra still worth it?",bfe5502c30
Why does ChatGPT make up Kestra YAML fields like bucket or name instead of using the real ones?,93a3e8b98c
How can I check if the YAML an AI generated for a Kestra flow is actually valid for my version?,93a3e8b98c
"For GCS upload in Kestra, what should I use instead of separate bucket and name properties?",93a3e8b98c
"In LoadFromGcs, why is destinationTable needed instead of projectId, dataset, and table split out?",93a3e8b98c
What is the safest way to generate Kestra flow YAML without ending up with wrong plugin properties?,93a3e8b98c
Why do we keep an eye on token usage in Kestra flows that call LLMs?,a4adc70f41
How does tracking tokens in a workflow help with controlling API costs?,a4adc70f41
"In a Kestra loop or scheduled job, what makes token monitoring so important?",a4adc70f41
Can token counts from LLM responses be used to improve prompts and outputs?,a4adc70f41
What’s the point of logging or alerting on token usage in an orchestration pipeline?,a4adc70f41
Why am I getting the Docker Desktop error that says the path /tmp/... is not shared from the host?,dd8b4c9fda
What should I do in Docker Desktop when a mount gets denied for something like /tmp/kestra-wd?,dd8b4c9fda
How can I allow Docker to access /tmp so my container can start properly?,dd8b4c9fda
Where do I add a host path in Docker Desktop if Docker Compose fails with a mounts denied message?,dd8b4c9fda
"After changing Docker file sharing settings, what do I need to do before running docker compose up -d again?",dd8b4c9fda
"For the Module 3 Kestra homework, what am I supposed to put in the public repo if I did everything in the Kestra UI and didn’t really write code locally?",f29f622684
"Do I need to upload the Kestra flow YAML files for homework submission, or is a README with my answers enough?",f29f622684
What exactly should I commit to GitHub for the Module 3 homework so the submission link is accepted?,f29f622684
"If my Kestra flows call any scripts, should I include those scripts in the repo too when submitting Module 3?",f29f622684
"Should I use the repo link for the answers to Q1, Q2, etc., or are those supposed to be entered somewhere else?",f29f622684
Why am I getting `JSONDecodeError: Expecting value` when I try to load the LLM output as JSON?,a3c7e1b4f9
How can I make the model return only valid JSON when generating ground-truth questions?,a3c7e1b4f9
What should I set in the API call so the response comes back as a JSON object instead of markdown or extra text?,a3c7e1b4f9
How do I write the prompt so the LLM outputs exactly a JSON object with 5 questions and nothing else?,a3c7e1b4f9
"Does this JSON-only output option exist in other providers too, like Gemini or Groq?",a3c7e1b4f9
Why does my Jupyter kernel die when I try to embed the ground-truth data in Module 4?,b8f2d6a30c
What can I do if the notebook runs out of memory while loading the embedding model and the dataset together?,b8f2d6a30c
"Is there a lighter embedding model I can use for the evaluation step, and will that change my results?",b8f2d6a30c
Can I move the ground-truth embedding part out of the notebook to avoid crashes?,b8f2d6a30c
How do I handle embedding the ground-truth set on a low-RAM machine like Codespaces or a small laptop?,b8f2d6a30c
Why am I still hitting limits after adding a 4-second sleep in my loop when generating the ground-truth data?,c1e9f4b820
What should I do if the free Gemini tier keeps blocking me because of request quotas while I’m building the eval set?,c1e9f4b820
Is there a cheaper or easier model/provider I can use instead of Gemini for generating the ground-truth dataset?,c1e9f4b820
How can I reduce API errors when I’m running the embedding or generation step with a thread pool?,c1e9f4b820
"If my job stops halfway because of rate limits, what’s the best way to continue without starting over?",c1e9f4b820
How do I fix the WinError 126 fbgemm.dll error on Windows when importing torch?,15e931476c
"I’m getting 'The specified module could not be found' for torch\lib\fbgemm.dll in Windows 10, what should I install?",15e931476c
Does this PyTorch fbgemm.dll missing-dependency error mean I need Visual Studio or Visual C++ Redistributable?,15e931476c
"Why does torch fail to load fbgemm.dll on Windows, and what’s the usual fix for it?",15e931476c
Can you explain what to do if Python says it can’t find fbgemm.dll in site-packages\torch on Windows?,15e931476c
"I'm getting psycopg2 OperationalError saying it can't translate host name ""postgres"" when I run prep.py. What should I change to make it work?",4b65d5542d
"How do I fix the ""No such host is known"" error from postgres in the monitoring module setup?",4b65d5542d
"When running python prep.py, why does psycopg2 fail with host name ""postgres"" not found, and what's the quick fix?",4b65d5542d
"My prep.py crashes with an OperationalError about the postgres host. Do I need to edit the .env file, and what value should POSTGRES_HOST have?",4b65d5542d
"What's the correct database host setting if psycopg2 says it can't resolve ""postgres"" during prep.py?",4b65d5542d
How do I make Pandas show the full text in a column instead of cutting it off?,641aedbbf5
What setting should I change in Pandas to see the complete Explanation output in the offline-rag-evaluation notebook?,641aedbbf5
"Why does Pandas only show part of my long text column, and how can I disable that?",641aedbbf5
Is there a way to stop Pandas from shortening long strings in a dataframe column?,641aedbbf5
How can I display the whole judge LLM explanation text in the LLM-as-judge section without ellipses?,641aedbbf5
How can I normalize vectors stored in a Pandas DataFrame column?,5039707c1a
What's the easiest way to make each vector in a Pandas Series have unit length?,5039707c1a
Can I use apply with NumPy norm to normalize a column of vectors in pandas?,5039707c1a
How do I create a new column with normalized vectors from an existing dataframe column?,5039707c1a
What’s the pandas way to divide each vector by its own L2 norm?,5039707c1a
How do I get the 75th percentile of a Pandas DataFrame column?,b4c8ac5a0c
What's the easiest way to compute a 0.75 quantile in Pandas?,b4c8ac5a0c
How can I find the percentile value for a Pandas Series?,b4c8ac5a0c
Is there a Pandas method for getting quantiles from a column?,b4c8ac5a0c
How do I calculate the 75% quantile of df['col']?,b4c8ac5a0c
"How do I wipe out every Docker container from the terminal, even the ones still running?",66ccbb7da0
What command should I use to force-delete all Docker images on my machine?,66ccbb7da0
Is there a quick way to remove every Docker volume with one terminal command?,66ccbb7da0
"How can I clean up all containers, images, and volumes in Docker from the command line?",66ccbb7da0
"What are the terminal commands to fully clear Docker resources like containers, images, and volumes?",66ccbb7da0
"How can I make sure a user can only leave one feedback vote per submission in Streamlit, like +1 or -1?",2e729f1271
Why does `st.session.submitted` keep getting set back to True even after I press a feedback button?,2e729f1271
I want the feedback buttons to stay disabled after a user submits a message once — what’s the right way to handle session state for this?,2e729f1271
Is there a fix for `st.session.submitted` being reassigned unexpectedly in a Streamlit app when using feedback buttons?,2e729f1271
Where can I find the solution for the Streamlit session state issue where feedback can be given only once per submission?,2e729f1271
"Why do I get an error saying `streamlit` is not found in `$PATH` when I start my app with docker-compose, even though it works locally?",e8df9f0d12
What am I missing in my Docker setup if docker-compose fails to create the container and says it can't execute `streamlit`?,e8df9f0d12
"Do I need a Dockerfile for a Streamlit app to run properly under docker-compose, and what should I check in the compose file?",e8df9f0d12
How can I fix the OCI/runc startup error in docker-compose when the container says `streamlit` executable not found?,e8df9f0d12
"After adding Streamlit to my docker-compose config, what command should I run so the container gets rebuilt and starts correctly?",e8df9f0d12
"Is the capstone project done individually, or can we submit it as a group?",0fab61eca2
"Can I work with classmates on the capstone idea, or does every project have to be separate?",0fab61eca2
"If two people build one system, is that allowed for the capstone, or does each person need their own repo and part?",0fab61eca2
Does the final capstone need to be independently evaluable for each student?,0fab61eca2
What if we share the same overall project idea but split the work—does that still count as an individual capstone?,0fab61eca2
"Do I need to submit two capstone projects, or is one project enough for the course?",d5fc98925d
What do attempt 1 and attempt 2 mean for the capstone submission — is the second one only if the first one fails?,d5fc98925d
"If I miss the first submission window, can I still submit in attempt 2 and stay on track?",d5fc98925d
"Can I submit two projects just to get more practice, and if so do they need different datasets and problem statements?",d5fc98925d
"Does submitting the capstone count toward certification by itself, or do I also need to do the peer-review for three classmates?",d5fc98925d
"Can I use the competition as my capstone project, or are they separate things?",e892d44e42
Is the capstone supposed to be done individually even if I join the competition with a team?,e892d44e42
"If I participate in the math-kaggle-llm-competition, does that count toward the capstone requirement?",e892d44e42
Can I form a group for the competition and still keep the capstone as my own work?,e892d44e42
Are the competition and the capstone project treated differently in llm-zoomcamp?,e892d44e42
How will my capstone project be graded in the course?,9a2e2d2008
Who reviews the capstone project after I submit it?,9a2e2d2008
Do I need to review other students’ capstone projects too?,9a2e2d2008
What happens if I don’t grade the three projects I’m assigned?,9a2e2d2008
How is the final score for the capstone calculated?,9a2e2d2008
"After the project submission deadline, how do we get assigned projects to review or grade?",eae0fb50aa
How many projects will each participant be given once the deadline is over?,eae0fb50aa
"Will the review assignments be sent out after submissions close, and in what format?",eae0fb50aa
"For capstone grading, do we get three projects each to evaluate after the deadline?",eae0fb50aa
What happens to project review assignments after the submission deadline passes?,eae0fb50aa
"I already submitted my capstone project, so why am I not able to review other projects yet?",a8a7fef016
When do project reviews start after the submission deadline is over?,a8a7fef016
"Do I get to pick which projects I evaluate, or are they assigned automatically?",a8a7fef016
Why is the project list still empty after I’ve turned in my work?,a8a7fef016
Can I review projects before the review assignments are released?,a8a7fef016
Where can I find some project ideas and datasets for the capstone project?,e76a70cde3
Is there a page with suggestions for datasets I can use for the project?,e76a70cde3
What’s the best place to look for ideas and guidance for the capstone project?,e76a70cde3
Do you have a GitHub link with possible project ideas and datasets?,e76a70cde3
"Where should I go if I need tips, guidelines, and dataset ideas for the project?",e76a70cde3
"Do I need to use Airflow, Mage, or Kestra for the capstone project, or is a simple Python script enough?",d4f7c08ea1
"If I build the ingestion pipeline as a plain Python script, can I still get full points for that part of the capstone?",d4f7c08ea1
"Would a Jupyter notebook count for the capstone ingestion pipeline, and if so, does it get the same score as a script?",d4f7c08ea1
When does it actually make sense to add an orchestrator to the capstone project instead of just using Python?,d4f7c08ea1
"Should I include an orchestration tool in my capstone just to satisfy the project requirements, or is that unnecessary?",d4f7c08ea1
How can I test a recommender-style RAG when I don’t have clear ground-truth Q&A pairs?,9b0e2d6a47
What’s a good way to create synthetic queries for evaluating retrieval in a recommendation setup?,9b0e2d6a47
Can I use an LLM as a judge to score the end-to-end output of my RAG system?,9b0e2d6a47
"For ranking-based RAG tasks, should I use hit rate or something like NDCG?",9b0e2d6a47
How do I measure whether my retriever returns the right item near the top when multiple answers could be acceptable?,9b0e2d6a47
"What chunk size should I start with for a big PDF collection, and should I use overlap?",6f2a8b3d10
Is it better to split long docs with fixed chunks or have an LLM break them into sections?,6f2a8b3d10
"Would adding a short summary to each chunk help retrieval, and how would I use it?",6f2a8b3d10
"For legal or financial PDFs, should I stick with dense search or use BM25 too?",6f2a8b3d10
What tools are good for turning PDFs into clean markdown before chunking?,6f2a8b3d10
What do you mean by reproducibility in the project — should a reviewer be able to run it from scratch on their own?,e5d8a2c761
Do I need to put my API keys or other hosted-service credentials in the repo for the reviewer?,e5d8a2c761
How should I let someone rebuild the search index and ingest the dataset when they clone my project?,e5d8a2c761
"Is it enough to add a .env.example file, or do I need to include the actual secret values too?",e5d8a2c761
What should I do to make sure reviewers can run the capstone without spending too much on API credits?,e5d8a2c761
"Can I do the homework in JavaScript, TypeScript, Go, Rust, Java, Scala, C#, or R instead of Python, or is Python basically required?",ea815eb858
"If I choose a non-Python stack for the capstone, what kind of README and setup instructions do I need to include so the reviewer can run it?",ea815eb858
"Is it okay to use another language for the final project, and what are the downsides compared with sticking to Python?",ea815eb858
"For a project written in Go or another non-Python language, what exact install/run steps should I show in the submission?",ea815eb858
"Do the course homework and capstone have to follow the Python examples, or can I use a different ecosystem as long as it’s reproducible?",ea815eb858
Where do I look to see earlier LLM Zoomcamp capstone projects?,930286278d
Is there a page with submitted LLM Zoomcamp projects from 2024 and 2025?,930286278d
Can I browse past capstone project repos somewhere for this course?,930286278d
Where can I find examples of previous LLM Zoomcamp project submissions?,930286278d
Do you have links to old LLM Zoomcamp projects so I can check the scope?,930286278d
Do I have to announce or reserve my capstone project idea before I start it?,897a350476
"If I’m thinking about a project for the capstone, do I need to claim the topic somewhere first?",897a350476
"Can I work on a project idea without posting it in advance, or is that required?",897a350476
Where can I ask for feedback on my project idea if I’m not sure about it?,897a350476
"Is it okay if my capstone topic is similar to a past project, or does it have to be totally unique?",897a350476
Can I build my capstone project as a Telegram or WhatsApp bot instead of a web app?,7318a90b14
Are there any rules about what kind of interface I have to use for the project?,7318a90b14
"Is it okay if I expose the project through a CLI, Slack app, or even a notebook?",7318a90b14
"Does the course require a specific front end for the capstone, or can I choose whatever works best for my idea?",7318a90b14
"Will the course teach me how to create the interface, or do I need to handle that part myself?",7318a90b14
"What are some good tools to pull text out of PDFs for a RAG app, especially if the files are messy?",d8b28c47a0
"If my PDFs are just scanned images and don’t have selectable text, what can I use to OCR them?",d8b28c47a0
Is there a recommended library in the course for converting documents to Markdown or JSON for RAG?,d8b28c47a0
Can I use something like PyMuPDF or unstructured instead of a dedicated PDF parser for document extraction?,d8b28c47a0
Should I just try a few extraction tools on my own files and pick the one that gives the cleanest output?,d8b28c47a0
Can I use this workshop content in my own capstone project?,d850a0e7ea
Is it okay to reuse the workshop materials in other Zoomcamp projects too?,d850a0e7ea
"Since dlt is open-source, does that mean I can take the workshop examples and apply them to my own work?",d850a0e7ea
"Can I ask questions about using dlt directly in my project, or is it only for the workshop?",d850a0e7ea
Am I allowed to use the data loading ideas from this workshop for something like an MLOps Zoomcamp project?,d850a0e7ea
How do I create a new dlt project for loading data from cloud storage?,6bceeebf04
What command should I run to initialize a dlt filesystem to DuckDB pipeline?,6bceeebf04
I'm starting with dlt and cloud files — what's the init command I should use?,6bceeebf04
How do I set up a fresh dlt project with filesystem as the source and DuckDB as the destination?,6bceeebf04
Where do I begin if I want to load from a cloud filesystem using dlt?,6bceeebf04
"Why do I get `Table notion_pages___homework does not exist` when I run `db.open_table(""notion_pages___homework"")`?",0407213397
"I changed the table name to `homework`, but opening the table still fails — what else am I supposed to update?",0407213397
What does the `FileNotFoundError` for `notion_pages___homework` usually mean in this dlt workshop?,0407213397
"If my pipeline still points to `employee_handbook`, could that cause the table open error?",0407213397
"I renamed the table, but `db.create_table(...)` is still mentioned in the error — is there another setting I forgot to change?",0407213397
Why am I getting FileNotFoundError that says notion_pages___homework does not exist when I run main() in the dlt workshop?,e95bfafc0e
What table name should I open if db.create_table complains about notion_pages___homework missing?,e95bfafc0e
"In the Notion pages homework code, what should line 3 be to avoid the table not found error?",e95bfafc0e
How do I fix the error where db says the notion_pages___homework table is missing before create_table?,e95bfafc0e
Which table should I use in db.open_table for the homework in the open-source data ingestion workshop?,e95bfafc0e
How can I see what tables exist in the database?,e394e6f738
Is there a way to list all tables in the db?,e394e6f738
What method should I call to get the table names?,e394e6f738
How do I check which tables were created?,e394e6f738
Where can I find the names of all tables in my database?,e394e6f738
Does dlt currently support connectors for ClickHouse or StarRocks?,cd19f122f3
Can I use dlt to load data into ClickHouse or StarRocks right now?,cd19f122f3
Are there any official dlt connectors for ClickHouse and StarRocks?,cd19f122f3
"If dlt doesn't support ClickHouse or StarRocks, can the community add them?",cd19f122f3
"Is ClickHouse or StarRocks connector support planned for dlt, or is it only possible through contributions?",cd19f122f3
"Why do I get a 401 Unauthorized when the notebook calls the Notion search API, and what should I check first?",0dfba07ace
My notebook says it does not have secret access for api.notion.com/v1/search — is this usually an API key or permissions problem?,0dfba07ace
How can I fix an authorization error in the Notion API during the dlt workshop notebook run?,0dfba07ace
Could a wrong endpoint or expired token cause the notebook to fail with 401 on Notion search?,0dfba07ace
What are the main things to verify if the notebook can’t access Notion and keeps returning Unauthorized?,0dfba07ace
How can I get requests to install the newer 2.32.3 version instead of the older one?,4b30b918bc
What pip command should I use to pull requests straight from GitHub at v2.32.3?,4b30b918bc
Why do I keep ending up with requests v2.28 when lancedb needs a newer release?,4b30b918bc
Is there a way to force-install the exact requests build from the source archive?,4b30b918bc
"If I get a 401 Client Error while doing this, does it mean the key is wrong or not allowed?",4b30b918bc
